class,defect_type,metric,n,p_value,spearman_rho_vs_severity,variant
transistor,cutout,pixel_auc,80,1.4637373059413345e-05,0.4639083642963716,cosine
transistor,cutout,normal_energy_region_gap,0,nan,nan,cosine
transistor,cutout,energy_gap_region_gap,0,nan,nan,cosine
transistor,cutout,score_energy_region_gap,0,nan,nan,cosine
transistor,cutout,mask_mean,80,1.5797821281138042e-06,0.5071605467761487,cone_normal_only
transistor,cutout,region_gap,80,2.2522210741127085e-06,0.5006535812703417,cone_normal_only
transistor,cutout,pixel_auc,80,1.72572729529603e-05,0.4604635002050619,cone_normal_only
transistor,cutout,normal_energy_region_gap,80,2.2991760042157504e-06,0.5002708185935295,cone_normal_only
transistor,cutout,energy_gap_region_gap,0,nan,nan,cone_normal_only
transistor,cutout,score_energy_region_gap,80,2.2991760042157504e-06,0.5002708185935295,cone_normal_only
transistor,cutout,mask_mean,80,2.1163772023794986e-06,0.5018048100314415,cone_contrastive
transistor,cutout,region_gap,80,3.5259454448036887e-06,0.49223280238047357,cone_contrastive
transistor,cutout,pixel_auc,80,4.624012084465181e-05,0.4390287903035794,cone_contrastive
transistor,cutout,normal_energy_region_gap,80,2.2991760042157504e-06,0.5002708185935295,cone_contrastive
transistor,cutout,energy_gap_region_gap,80,3.4557235354803813e-06,0.49261556505728565,cone_contrastive
transistor,cutout,score_energy_region_gap,80,3.4557235354803813e-06,0.49261556505728565,cone_contrastive
transistor,scratch,mask_mean,80,3.3868178678826926e-06,0.4929983277340978,cosine
transistor,scratch,region_gap,80,2.8222166901326602e-06,0.4964431918254075,cosine
transistor,scratch,pixel_auc,80,9.531800567855986e-06,0.4727119058630519,cosine
transistor,scratch,normal_energy_region_gap,0,nan,nan,cosine
transistor,scratch,energy_gap_region_gap,0,nan,nan,cosine
transistor,scratch,score_energy_region_gap,0,nan,nan,cosine
transistor,scratch,mask_mean,80,1.1731494372438836e-06,0.5125192242515194,cone_normal_only
transistor,scratch,region_gap,80,2.347051269775126e-06,0.4998880559167172,cone_normal_only
transistor,scratch,pixel_auc,80,2.7093976814832677e-06,0.4972087171790319,cone_normal_only
transistor,scratch,normal_energy_region_gap,80,2.347051269775126e-06,0.4998880559167172,cone_normal_only
transistor,scratch,energy_gap_region_gap,0,nan,nan,cone_normal_only
transistor,scratch,score_energy_region_gap,80,2.347051269775126e-06,0.4998880559167172,cone_normal_only
transistor,scratch,mask_mean,80,2.1610062924971195e-06,0.5014191066239659,cone_contrastive
transistor,scratch,region_gap,80,3.5259454448036887e-06,0.49223280238047357,cone_contrastive
transistor,scratch,pixel_auc,80,3.187769778267549e-06,0.49414661576453445,cone_contrastive
transistor,scratch,normal_energy_region_gap,80,2.347051269775126e-06,0.4998880559167172,cone_contrastive
transistor,scratch,energy_gap_region_gap,80,3.5259454448036887e-06,0.49223280238047357,cone_contrastive
transistor,scratch,score_energy_region_gap,80,3.5259454448036887e-06,0.49223280238047357,cone_contrastive
